_from,_to,relType,sourceType,targetType
e_skills/8dacb022-8cb8-47d1-b8de-115b08e85759,e_skills/77770b39-e029-4919-a0c8-7642c33d9106,optional,knowledge,knowledge
e_skills/8dacb022-8cb8-47d1-b8de-115b08e85759,e_skills/721836e6-d46d-4ccb-acf5-fa4c4b5a755f,optional,knowledge,knowledge
e_skills/600b1685-af00-4810-a5d3-6f99df1ae51b,e_skills/fcb64169-e526-4d4d-a9e6-378620db7fd0,optional,knowledge,knowledge
e_skills/625c6acd-19a4-443f-afa0-719efb0b55a7,e_skills/3b029048-c81d-40ed-bdc1-9779c0aeb4c3,optional,knowledge,knowledge
e_skills/16425992-34a7-4683-bd4b-54d78536eeae,e_skills/e9396caa-1482-4dc9-8219-04e56ec5b5c7,optional,knowledge,knowledge
e_skills/f09e455f-4c07-4304-b9fb-f18681166a5d,e_skills/232fb318-9fbb-48f4-bd6b-7ab57264d1a0,optional,knowledge,knowledge
e_skills/097e1d02-b03a-4a4d-a13b-ec2b88c38aa2,e_skills/8bb99e40-7dd4-43d4-b51b-08acd52442b2,optional,knowledge,knowledge
e_skills/097e1d02-b03a-4a4d-a13b-ec2b88c38aa2,e_skills/6e06518a-6d00-4a6a-ae3d-b029b934d6e6,optional,knowledge,knowledge
e_skills/d1d053b6-f0dd-4a3b-8e18-fd7e103f32cc,e_skills/b324fda2-305d-4454-8c25-b507f4053f24,optional,knowledge,knowledge
e_skills/0426621d-d07e-4d11-b25a-2da5f6d998e8,e_skills/ab2caf6a-56e5-4d97-928e-3029ce897b7a,optional,knowledge,knowledge
e_skills/0426621d-d07e-4d11-b25a-2da5f6d998e8,e_skills/6e9fcbd1-23e8-4d8d-b344-88ac6e650c46,optional,knowledge,knowledge
e_skills/5fd58741-ed74-40e0-86e2-1f6a98803b0e,e_skills/d8db77bd-5a86-44eb-898a-f9b11c6479d7,optional,knowledge,knowledge
