_id,Scale ID,Element ID,O*NET-SOC Code
o_jobSkills/d6816a56-035b-4cda-9cfe-64b9ae4b4601,,2.B.2.i,11-2022.00
o_jobSkills/ca640548-d9dc-4407-9583-b9958acba5b0,,2.B.3.a,11-2022.00
o_jobSkills/09adc7e8-5303-47f5-90ae-56eacd0d5b94,,2.B.3.b,11-2022.00
o_jobSkills/50d480fd-f1c7-43a0-8c80-c0fa41091fef,,2.B.3.c,11-2022.00
o_jobSkills/d22f92cc-e79f-4eff-80e6-7ddfa2d63af0,,2.B.3.d,11-2022.00
o_jobSkills/739c9e0d-efed-4512-ba9a-4e4d9e2b6e5f,,2.B.3.e,11-2022.00
o_jobSkills/d415a32c-27e2-4ace-a1c2-e8f6a28f2c60,,2.B.3.g,11-2022.00
o_jobSkills/5ccf3160-d1ec-4852-87c7-e0ecc4cdc79a,,2.B.3.h,11-2022.00
o_jobSkills/89ef6548-eaac-437f-8c54-f55ed73b8a09,,2.B.3.j,11-2022.00
o_jobSkills/64c28fab-8952-411a-8462-2d490278ea35,,2.B.3.k,11-2022.00
o_jobSkills/51c1b85a-2b5f-4308-807b-d0665249305c,,2.B.3.l,11-2022.00
o_jobSkills/366c7a3b-2335-4dab-b7fa-3db157cdbaa6,,2.B.3.m,11-2022.00
o_jobSkills/e45f1091-4fb1-492a-8658-3f4c1b28fd13,,2.B.4.e,11-2022.00
o_jobSkills/444914fa-ef4b-4fd1-9c91-67952e25c0fa,,2.B.4.g,11-2022.00
o_jobSkills/d4027afa-0fd3-4d2f-84e4-81a15ac623ff,,2.B.4.h,11-2022.00
o_jobSkills/6c1aa956-12f8-4135-ac07-f15acef4cb1d,,2.B.5.a,11-2022.00
o_jobSkills/38bbbcb3-7035-41e2-b200-49da6d5bc190,,2.B.5.b,11-2022.00
o_jobSkills/24a44da9-f922-4d48-98af-745d0259189d,,2.B.5.c,11-2022.00
o_jobSkills/098105e9-914c-40d9-a49f-9850b7eedab0,,2.B.5.d,11-2022.00
o_jobSkills/5e67f9da-f517-4c8a-be54-6f3afc6cefe0,,2.A.1.a,11-2031.00
o_jobSkills/80af84ea-202e-4504-9c20-d91cfa91a2a0,,2.A.1.b,11-2031.00
o_jobSkills/506f4ce0-c4eb-4248-9db1-fc6a312e4b18,,2.A.1.c,11-2031.00
o_jobSkills/1f4912bb-ab84-471b-9d7a-f382791efedb,,2.A.1.d,11-2031.00
o_jobSkills/da810c00-2daf-4625-998b-1b065e78bcbb,,2.A.1.e,11-2031.00
o_jobSkills/a88dc40c-eb38-4712-b529-69c00015a956,,2.A.1.f,11-2031.00
o_jobSkills/fc7028f3-afcc-4fa6-a946-15ae8ae1ce0a,,2.A.2.a,11-2031.00
o_jobSkills/1454ead6-ad5b-48cb-8758-328b98f95cec,,2.A.2.b,11-2031.00
o_jobSkills/c7358f16-dbd4-4613-81fd-fef7e00beba5,,2.A.2.c,11-2031.00
o_jobSkills/65cf83ec-2809-4875-9bf1-0b48f1b9a744,,2.A.2.d,11-2031.00
o_jobSkills/2a6075ee-c92b-4896-9f63-cb91d485b973,,2.B.1.a,11-2031.00
